path	status	rationale
adl/tools/archive_run_artifacts.sh	local_only_utility	Setup, cleanup, archive, or report maintenance utility.
adl/tools/attach_post_merge_closeout.sh	explicit_fail_closed_gap	Retired auto-attach path; explicit closeout remains required until native watcher lane exists.
adl/tools/attach_pr_janitor.sh	local_only_utility	Local process launcher for skill-mediated janitor flow; not GitHub transport authority.
adl/tools/batched_checks.sh	local_only_utility	Local operator/proof helper; status recorded to prevent accidental promotion into control-plane authority.
adl/tools/branch_hygiene.sh	local_only_utility	Local operator/proof helper; status recorded to prevent accidental promotion into control-plane authority.
adl/tools/burst_continue.sh	local_only_utility	Local operator/proof helper; status recorded to prevent accidental promotion into control-plane authority.
adl/tools/burst_worktree.sh	local_only_utility	Local operator/proof helper; status recorded to prevent accidental promotion into control-plane authority.
adl/tools/card_paths.sh	local_only_utility	Local operator/proof helper; status recorded to prevent accidental promotion into control-plane authority.
adl/tools/card_prompt.sh	delegated_to_adl_csdlc	Compatibility wrapper over Rust/C-SDLC or validator-owned command path; keep until callers migrate.
adl/tools/check_compression_finish_profiles.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_coverage_impact.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_issue_metadata_parity.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_milestone_closed_issue_sor_truth.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_no_new_legacy_swarm_refs.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_no_tracked_adl_issue_record_residue.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_pr_closing_linkage.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_release_notes_commands.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/check_release_version_surfaces.sh	local_only_utility	Check/validation helper; local proof utility, not a replacement control plane.
adl/tools/ci_path_policy.sh	local_only_utility	Local operator/proof helper; status recorded to prevent accidental promotion into control-plane authority.
adl/tools/clean_coverage_artifacts.sh	local_only_utility	Setup, cleanup, archive, or report maintenance utility.
adl/tools/closeout_completed_issue_wave.sh	local_only_utility	Default local shell utility classification; review if this script becomes operator-facing workflow authority.
adl/tools/codex_pr.sh	scheduled_for_removal	Legacy operator convenience wrapper; replacement is repo-native pr/workflow tooling.
adl/tools/codexw.sh	scheduled_for_removal	Legacy operator convenience wrapper; replacement is repo-native pr/workflow tooling.
adl/tools/coverage.sh	local_only_utility	Local operator/proof helper; status recorded to prevent accidental promotion into control-plane authority.
adl/tools/demo_adaptive_godel_loop.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_aee_bounded_adaptation.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_affect_engine.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_affect_godel_vertical_slice.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_codex_ollama_operational_skills.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_cross_workflow_learning.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_d11_signed_remote.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_experiment_prioritization.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_five_command_editing.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_five_command_run.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_godel_hypothesis_engine.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_hitl_editor_review.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_one_command.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_promotion_eval_loop.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_reasoning_graph_affect.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_smoke_v07_story.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_steering_queue_checkpoint.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v086_candidate_selection.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v086_control_path.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v086_fast_slow.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v086_freedom_gate.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v086_review_surface.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_docs_review.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_integrated_runtime.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_lifecycle.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_multi_agent_discussion.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_operator_surface.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_provider_chatgpt.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_provider_http.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_provider_local_ollama.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_provider_mock.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_quality_gate.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_real_multi_agent_discussion.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_release_review_package.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_resilience_failure.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_restartability.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_review_surface.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_runtime_environment.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_runtime_state.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_shepherd_recovery.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_suite.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v0871_trace_runtime.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v087_control_plane.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v087_operational_skills.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v087_provider_portability.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v087_reviewer_package.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v087_shared_obsmem.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v087_suite.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v087_trace_truth.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v088_deep_agents_comparative_proof.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v088_instinct_review_surface.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v088_paper_sonata.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
adl/tools/demo_v088_phi_review_surface.sh	local_only_utility	Demo entrypoint/helper; preserves reproducible demo behavior, not workflow authority.
